"","Source","Destination","value"
"1","Australia","Brazil","27.868809286999106"
"2","Australia","Canada","46.827693406219382"
"3","Australia","Czech Republic","104.79905129342241"
"4","Australia","Finland","26.823089572300752"
"5","Australia","France","424.37048861305249"
"6","Australia","Germany","556.4140279523856"
"7","Australia","Hungary","200.08597014449356"
"8","Australia","Indonesia","172.0021287331823"
"9","Australia","Italy","733.51652291459231"
"10","Australia","Korea, Rep.","259.97044386689589"
"11","Australia","Netherlands","133.48932759488602"
"12","Australia","Philippines","1002.3593555086774"
"13","Australia","Poland","109.73486651698796"
"14","Australia","Russian Federation","19.082541158574934"
"15","Australia","Saudi Arabia","13.578431465294949"
"16","Australia","Sweden","91.887827513176489"
"17","Australia","Thailand","383.08245004577498"
"18","Australia","United Kingdom","1084.0742194994727"
"19","Australia","United States","188.06242727403128"
"20","Brazil","Canada","1.5806325278762619"
"21","Brazil","Czech Republic","3.0488843262423089"
"22","Brazil","Finland","1.3451674211686246"
"23","Brazil","France","123.9763417712491"
"24","Brazil","Germany","66.518143815367239"
"25","Brazil","Hungary","11.953328254521287"
"26","Brazil","Indonesia","1.3701340430259537"
"27","Brazil","Italy","116.74264895322995"
"28","Brazil","Korea, Rep.","20.467939414361016"
"29","Brazil","Netherlands","4.7378343766684532"
"30","Brazil","Philippines","1.5863355979877207"
"31","Brazil","Poland","5.8313637459523129"
"32","Brazil","Russian Federation","1.0136604494838692"
"33","Brazil","Saudi Arabia","0.32506772760873404"
"34","Brazil","Sweden","5.1132733094740352"
"35","Brazil","Thailand","2.7410805494977684"
"36","Brazil","United Kingdom","4.2050614573174592"
"37","Brazil","United States","49.814372612310521"
"38","Canada","Brazil","31.284184411144214"
"39","Canada","Czech Republic","176.79676736179096"
"40","Canada","Finland","37.781150857376964"
"41","Canada","France","1296.7352242506483"
"42","Canada","Germany","809.9621650533453"
"43","Canada","Hungary","436.0811601171776"
"44","Canada","Indonesia","33.545925908780198"
"45","Canada","Italy","1072.1119887588022"
"46","Canada","Korea, Rep.","326.94157937864327"
"47","Canada","Netherlands","181.28828076733771"
"48","Canada","Philippines","2369.5223195675494"
"49","Canada","Poland","341.10408952685464"
"50","Canada","Russian Federation","58.760989426089431"
"51","Canada","Saudi Arabia","15.511213677040857"
"52","Canada","Sweden","65.860232580192786"
"53","Canada","Thailand","79.370683058792849"
"54","Canada","United Kingdom","568.62605950140266"
"55","Canada","United States","661.98049661387927"
"56","Czech Republic","Brazil","1.0985038386626864"
"57","Czech Republic","Canada","1.7782115938607945"
"58","Czech Republic","Finland","1.2627050505222721"
"59","Czech Republic","France","62.78157852288895"
"60","Czech Republic","Germany","67.492132068572388"
"61","Czech Republic","Hungary","38.228540295152193"
"62","Czech Republic","Indonesia","0.71967055488746157"
"63","Czech Republic","Italy","17.373155994659459"
"64","Czech Republic","Korea, Rep.","6.7394434657042366"
"65","Czech Republic","Netherlands","7.3951292512310145"
"66","Czech Republic","Philippines","3.2830632580554644"
"67","Czech Republic","Poland","44.048608872880905"
"68","Czech Republic","Russian Federation","26.89444655781173"
"69","Czech Republic","Saudi Arabia","0.14001411159050892"
"70","Czech Republic","Sweden","9.5903695353432159"
"71","Czech Republic","Thailand","9.3123974622527115"
"72","Czech Republic","United Kingdom","7.717248236050394"
"73","Czech Republic","United States","14.634069510079469"
"74","Finland","Brazil","1.8980750789729375"
"75","Finland","Canada","1.6907263357880413"
"76","Finland","Czech Republic","4.9709517478925642"
"77","Finland","France","30.136526068417172"
"78","Finland","Germany","28.180996222404502"
"79","Finland","Hungary","16.76020271115307"
"80","Finland","Indonesia","0.90359247446733826"
"81","Finland","Italy","6.9026403798874423"
"82","Finland","Korea, Rep.","1.2210639948839463"
"83","Finland","Netherlands","2.1016403084152815"
"84","Finland","Philippines","12.692878055737987"
"85","Finland","Poland","5.9708548769808489"
"86","Finland","Russian Federation","53.137087641525419"
"87","Finland","Saudi Arabia","0.28198646250396203"
"88","Finland","Sweden","287.21009660695762"
"89","Finland","Thailand","56.769461725629995"
"90","Finland","United Kingdom","4.696317823923307"
"91","Finland","United States","10.235486331621299"
"92","France","Brazil","85.584489445372242"
"93","France","Canada","24.947060276723665"
"94","France","Czech Republic","64.184827762625133"
"95","France","Finland","9.5888275367211708"
"96","France","Germany","962.29635272165058"
"97","France","Hungary","87.38047161554492"
"98","France","Indonesia","10.926620491245533"
"99","France","Italy","1194.8895584420677"
"100","France","Korea, Rep.","49.634829147821172"
"101","France","Netherlands","60.307511152658336"
"102","France","Philippines","74.113898273597925"
"103","France","Poland","190.07587701944223"
"104","France","Russian Federation","37.159927448346494"
"105","France","Saudi Arabia","2.2480587427399197"
"106","France","Sweden","81.239813576340197"
"107","France","Thailand","116.53093843640626"
"108","France","United Kingdom","0.60494051708321428"
"109","France","United States","113.16107835872739"
"110","Germany","Brazil","91.723423460945924"
"111","Germany","Canada","21.700138680480421"
"112","Germany","Czech Republic","1034.0570600470678"
"113","Germany","Finland","53.335608859897043"
"114","Germany","France","2123.8517239670541"
"115","Germany","Hungary","997.34851631556342"
"116","Germany","Indonesia","36.097381326505847"
"117","Germany","Italy","1310.4496918904858"
"118","Germany","Korea, Rep.","82.787645208244697"
"119","Germany","Netherlands","213.82150393515582"
"120","Germany","Philippines","291.18360680728568"
"121","Germany","Poland","2116.617175207864"
"122","Germany","Russian Federation","781.21138825474407"
"123","Germany","Saudi Arabia","1.3247489019717382"
"124","Germany","Sweden","183.60070632836164"
"125","Germany","Thailand","634.72021766566979"
"126","Germany","United Kingdom","109.12421054900234"
"127","Germany","United States","306.64020193284671"
"128","Hungary","Brazil","0.79006710369972033"
"129","Hungary","Canada","2.2254676885023983"
"130","Hungary","Czech Republic","11.689638357030798"
"131","Hungary","Finland","1.9559043537681726"
"132","Hungary","France","53.235093080965747"
"133","Hungary","Germany","136.98882087403172"
"134","Hungary","Indonesia","0.46548574465733322"
"135","Hungary","Italy","12.872563219593351"
"136","Hungary","Korea, Rep.","3.113048309455277"
"137","Hungary","Netherlands","4.1273177141167583"
"138","Hungary","Philippines","1.2867503984635915"
"139","Hungary","Poland","7.2392192040286432"
"140","Hungary","Russian Federation","3.5875056035180704"
"141","Hungary","Saudi Arabia","0.34367100117670379"
"142","Hungary","Sweden","13.208626698345835"
"143","Hungary","Thailand","4.822791477731676"
"144","Hungary","United Kingdom","4.8895478226019282"
"145","Hungary","United States","16.565766685409962"
"146","Indonesia","Brazil","0"
"147","Indonesia","Canada","1.8430883020945217"
"148","Indonesia","Czech Republic","0"
"149","Indonesia","Finland","0"
"150","Indonesia","France","0"
"151","Indonesia","Germany","0"
"152","Indonesia","Hungary","0"
"153","Indonesia","Italy","0"
"154","Indonesia","Korea, Rep.","65.7154607957401"
"155","Indonesia","Netherlands","8.5444198348824756"
"156","Indonesia","Philippines","14.912103108189671"
"157","Indonesia","Poland","0"
"158","Indonesia","Russian Federation","0"
"159","Indonesia","Saudi Arabia","1.9376778100532666"
"160","Indonesia","Sweden","0"
"161","Indonesia","Thailand","115.51864302926249"
"162","Indonesia","United Kingdom","22.942875706979819"
"163","Indonesia","United States","22.059814495765515"
"164","Italy","Brazil","172.23171723644012"
"165","Italy","Canada","26.828484815501756"
"166","Italy","Czech Republic","62.756099995423533"
"167","Italy","Finland","8.1019279160041293"
"168","Italy","France","1875.2189506743939"
"169","Italy","Germany","931.99763930140568"
"170","Italy","Hungary","98.506130058578592"
"171","Italy","Indonesia","4.6102072961208673"
"172","Italy","Korea, Rep.","10.000371082249808"
"173","Italy","Netherlands","20.024665187611468"
"174","Italy","Philippines","660.25577522239826"
"175","Italy","Poland","220.53190334422067"
"176","Italy","Russian Federation","62.30192699500715"
"177","Italy","Saudi Arabia","0.92135160144523709"
"178","Italy","Sweden","57.446790649518562"
"179","Italy","Thailand","60.756319520456493"
"180","Italy","United Kingdom","60.592142291615673"
"181","Italy","United States","125.51223302523447"
"182","Korea, Rep.","Brazil","0"
"183","Korea, Rep.","Canada","18.330619017311275"
"184","Korea, Rep.","Czech Republic","0"
"185","Korea, Rep.","Finland","0"
"186","Korea, Rep.","France","32.056227924956545"
"187","Korea, Rep.","Germany","7.8080718057773559"
"188","Korea, Rep.","Hungary","0"
"189","Korea, Rep.","Indonesia","71.572857914169049"
"190","Korea, Rep.","Italy","0"
"191","Korea, Rep.","Netherlands","0"
"192","Korea, Rep.","Philippines","247.59623419689817"
"193","Korea, Rep.","Poland","0"
"194","Korea, Rep.","Russian Federation","3.6623513892241952"
"195","Korea, Rep.","Saudi Arabia","0"
"196","Korea, Rep.","Sweden","0"
"197","Korea, Rep.","Thailand","222.63993590963486"
"198","Korea, Rep.","United Kingdom","4.3191425181982037"
"199","Korea, Rep.","United States","150.13928142933963"
"200","Netherlands","Brazil","23.709181883348574"
"201","Netherlands","Canada","9.6301523986423394"
"202","Netherlands","Czech Republic","45.138156416677496"
"203","Netherlands","Finland","7.4464776551505425"
"204","Netherlands","France","307.49185401478024"
"205","Netherlands","Germany","513.13354128297556"
"206","Netherlands","Hungary","90.915009517409132"
"207","Netherlands","Indonesia","309.39034360457322"
"208","Netherlands","Italy","71.061589548934734"
"209","Netherlands","Korea, Rep.","17.129765300237764"
"210","Netherlands","Philippines","62.447716515986436"
"211","Netherlands","Poland","142.71144742154448"
"212","Netherlands","Russian Federation","31.862858716549209"
"213","Netherlands","Saudi Arabia","1.678211099763163"
"214","Netherlands","Sweden","35.313469991215506"
"215","Netherlands","Thailand","91.313674976897417"
"216","Netherlands","United Kingdom","41.925881293813553"
"217","Netherlands","United States","55.28542402772166"
"218","Philippines","Brazil","0.2184854624086329"
"219","Philippines","Canada","5.5046903955889714"
"220","Philippines","Czech Republic","0.11467042819937887"
"221","Philippines","Finland","0.29119524634493216"
"222","Philippines","France","15.509839618781369"
"223","Philippines","Germany","15.389822689648122"
"224","Philippines","Hungary","1.9020173031127015"
"225","Philippines","Indonesia","5.9199686162003031"
"226","Philippines","Italy","5.3994714973589248"
"227","Philippines","Korea, Rep.","16.361164640011548"
"228","Philippines","Netherlands","0.6850728448448743"
"229","Philippines","Poland","0.18341778855219798"
"230","Philippines","Russian Federation","4.8303876326756222E-2"
