country,country_name,PDI,UAI,IDV,MAS,Area,Population Density,Racial Diversity (Ethnic),Population Year,Population,GI Most Recent Year,Gini Index,centroid lon,centroid lat,lang,walsCode,Number of Official Languages,Is English an offiicial language?
AU,Australia,36,51,90,61,7692020,3,0.0929,2019,25364.31,2014,34.4,133,-27,English,eng,1,Y
BR,Brazil,69,76,38,49,8358140,25,0.5408,2019,211049.53,2018,53.9,-53.089,-10.772,Portuguese,por,1,
CA,Canada,39,48,80,52,9093510,4,0.7124,2019,37589.26,2017,33.3,-95,60,English,eng,,
CZ,Czechia,NA,NA,NA,NA,77220,138,0.3222,2019,10669.71,2017,24.9,15.338,49.743,Czech,cze,,
DE,Germany,35,65,67,66,349360,237,0.1682,2019,83132.8,2016,31.9,9,51,German,ger,,
FI,Finland,33,59,63,26,303910,18,0.1315,2019,5520.31,2017,27.4,26.272,64.504,Finnish,fin,,
GB,Great Britain,35,35,89,66,241930,275,0.1211,2019,66834.4,2016,34.8,-2,54,English,eng,,
IT,Italy,50,75,76,70,294140,205,0.1145,2019,60297.4,2017,35.9,10.44,44.931,Italian,ita,,
PL,Poland,NA,NA,NA,NA,306190,124,0.1183,2019,37970.87,2017,29.7,20,52,Polish,pol,,
RU,Russia,NA,NA,NA,NA,16376870,9,0.2452,2019,144373.54,2018,37.5,100,60,Russian,rus,,
SE,Sweden,31,29,71,5,407310,25,0.06,2019,10285.45,2017,28.8,15,62,Swedish,swe,,
US,United States,40,46,91,62,9147420,36,0.4901,2019,328239.52,2016,41.4,-97,38,English,eng,,
PH,Philippines,94,44,32,64,298170,358,0.836,2019,108116.62,2015,44.4,122,13,Cebuano,ceb,,
FR,France,68,86,71,43,547557,122,0.1032,2019,67059.89,2017,31.6,2,46,French,fre,,
NL,Netherlands,38,53,80,14,33690,511,0.1054,2019,17331.85,2017,28.5,5.389,52.077,Dutch,dut,,
HU,Hungary,NA,NA,NA,NA,90530,108,0.1522,2019,9769.95,2017,30.6,20,47,Hungarian,hun,,
SA,Saudi Arabia,80,68,38,53,2149690,16,0.18,2019,34268.53,NA,NA,44.585,24.023,Arabic (Hijazi),arh,,
TH,Thailand,64,64,20,34,510890,136,0.6339,2019,69625.58,2018,36.4,100.844,15.7,Thai,tha,,
KR,Korea,60,85,18,39,97489,529,0.002,2019,51709.1,2012,31.6,128.103,36.504,Korean,kor,,
ID,Indonesia,78,48,14,46,1811570,148,0.7351,2019,270625.57,2018,37.8,114.252,-0.976,Javanese,jav,,
