item,category,conc_m,aoa,log_freq,valence,dominance,arousal,auditory,gustatory,haptic,olfactory,visual,interoceptive
bandage,artefact,4.85,5.94,2.1673,3.63,4.4,3.64,0.238095238,0.047619048,2.904761905,0.238095238,3.523809524,0.380952381
baseball,artefact,4.86,4.83,3.1103,5.79,6.05,3.15,2.647058824,0.235294118,4.058823529,0.882352941,4.882352941,1.117647059
basket,artefact,5,5.67,2.828,5.66,5.3,2.48,0.0625,0,4.375,0.0625,4.625,0
basketball,artefact,4.97,5.3,3.0382,5.67,5.05,4.35,1.888888889,0.055555556,2.722222222,0.166666667,4,0.833333333
bathtub,artefact,4.92,3.22,2.4942,6.26,5.91,3.63,1.277777778,0,3.333333333,1.222222222,4,1.444444444
beach,artefact,4.79,4.8,3.4607,7.21,5.7,5.1,2.444444444,0.222222222,2.222222222,2.388888889,4.444444444,0.166666667
book,artefact,4.9,3.68,3.9555,7.05,6.41,3.13,1.15,0.05,2.9,0.6,4.5,0.4
boomerang,artefact,4.7,9.79,1.6812,5.91,5.14,4.57,1.090909091,0.181818182,2.863636364,0.181818182,4.136363636,0.363636364
bottlecap,artefact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bucket,artefact,4.96,5.61,2.7093,4.55,5.52,2.96,0.823529412,0.352941176,2.647058824,0.411764706,3.941176471,0.470588235
calculator,artefact,4.86,8.22,1.8261,5.86,6.48,4.47,1.166666667,0,3.611111111,0.111111111,4.555555556,0.222222222
calendar,artefact,4.62,5.89,2.5611,5.53,5.59,2.9,0.388888889,0,1.722222222,0,4.666666667,0.111111111
camera,artefact,5,6,3.4636,6.61,6.39,3.05,1.2,0.15,3.65,0.2,4.4,0.35
campfire,artefact,4.79,5.11,1.8129,6.55,5.88,4.17,2.5,0,0.9375,3.1875,4.5,0.25
candle,artefact,4.86,5.37,2.6128,6.14,6.08,3.81,0.352941176,0.058823529,2.176470588,3.823529412,4.647058824,0.411764706
cannon,artefact,4.79,7.9,2.6484,4.74,4.95,5.09,3.8,0,1.55,0.85,3.95,0.6
castle,structure,4.96,5.8,3.0414,6.42,6.35,4.72,0.5,0,1.55,0.15,4.7,0.05
chandelier,artefact,4.79,8.63,1.8633,6.47,5.29,3.88,0.235294118,0.117647059,2,0.117647059,3.529411765,0.176470588
clock,artefact,5,4.42,3.4758,5.65,5.24,3.35,2.578947368,0.052631579,1.473684211,0.105263158,4.315789474,0.473684211
computer,artefact,4.93,9.7,3.4789,6.84,6.58,4.92,2.722222222,0.222222222,3.833333333,0.166666667,4.666666667,0.5
cooler,artefact,4.14,6.11,2.5575,6.1,5.92,3.83,0.730769231,0.653846154,3.423076923,0.538461538,1.730769231,3
crayon,artefact,4.87,3.2,1.3424,5.76,5.93,2.91,0.157894737,0.315789474,3.315789474,0.894736842,4.052631579,0
cup,artefact,5,3.57,3.4208,5.94,5.28,2.6,0.6875,1.125,3.6875,0.6875,4.5,0.3125
diamond,artefact,4.89,6.47,3.0228,6.88,5.64,5.82,0.157894737,0,2.684210526,0,3.210526316,0.473684211
dishwasher,artefact,4.86,7.16,2.017,5.32,5.21,3.05,3.6,0,2.6,0.866666667,4,0.066666667
donut,artefact,4.93,NA,1.8633,NA,NA,NA,0.5,4.55,3.3,3.6,3.9,0.6
dresser,artefact,4.96,4.28,2.2625,5.28,4.96,2.58,0.894736842,0.157894737,3.315789474,0.315789474,4.157894737,0.421052632
dumbbell,artefact,4.69,7.56,1.415,4.71,4.95,3.54,0.578947368,0,3.263157895,0.052631579,3.315789474,0.578947368
envelope,artefact,4.93,6.25,2.711,5.95,5.5,2.8,0.368421053,0.684210526,3.736842105,0.105263158,4.578947368,0.210526316
eraser,artefact,4.74,4.95,1.716,5.64,6.89,3.57,0.894736842,0.210526316,3.684210526,0.526315789,4.210526316,0.368421053
eyeglasses,artefact,4.92,4.9,1.5441,5.09,5.68,3.39,0.157894737,0,2.947368421,0,4.684210526,0.421052632
fan,artefact,4.71,5.63,3.2536,6.81,6.05,3.7,3.238095238,0.285714286,2.428571429,0.285714286,3.80952381,0.476190476
feather,artefact,4.9,4.67,2.5302,6.3,5.97,3.29,0.090909091,0.03030303,3.515151515,0.212121212,4.03030303,0.303030303
headphones,artefact,4.79,7.74,1.9085,6.47,5.92,3,4.705882353,0,3,0.058823529,2.470588235,1.176470588
hourglass,artefact,4.93,8.58,1.699,5.61,4.55,3.1,0,0,2.736842105,0,4.105263158,0.315789474
key,artefact,4.89,3.58,3.6465,6.22,6.75,3.9,1.235294118,0,3.647058824,0,4.294117647,0.294117647
keyboard,artefact,4.93,9.32,1.9685,5.17,5.13,3.59,3.055555556,0.277777778,4.666666667,0.277777778,4.333333333,0.777777778
laptop,artefact,4.96,12.44,2.2504,6.95,6.5,4.62,2.333333333,0,3.611111111,0.166666667,4.388888889,0.444444444
mailbox,artefact,5,6.11,2.3284,6.05,5.03,2.29,0.65,0,2.7,0,4.5,0
map,artefact,4.93,5.6,3.2106,5.81,5.79,3.95,0.227272727,0,1.772727273,0.181818182,4.409090909,0.227272727
marker,artefact,4.62,4.89,2.4281,5.8,5.48,4.05,0.588235294,0,2.294117647,1.058823529,3.647058824,0.294117647
